 ,label
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,0
302,1
303,0
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,1
399,0
