image_id,class
1.jpg,2
2.jpg,0
3.jpg,9
4.jpg,8
5.jpg,1
6.jpg,3
7.jpg,9
8.jpg,1
9.jpg,1
10.jpg,4
11.jpg,0
12.jpg,0
13.jpg,5
14.jpg,1
15.jpg,1
16.jpg,6
17.jpg,1
18.jpg,1
19.jpg,1
20.jpg,1
21.jpg,0
22.jpg,5
23.jpg,0
24.jpg,0
25.jpg,2
26.jpg,9
27.jpg,0
28.jpg,8
29.jpg,9
30.jpg,0
31.jpg,2
32.jpg,0
33.jpg,0
34.jpg,1
35.jpg,1
36.jpg,0
37.jpg,2
38.jpg,1
39.jpg,7
40.jpg,0
41.jpg,8
42.jpg,4
43.jpg,0
44.jpg,2
45.jpg,0
46.jpg,0
47.jpg,1
48.jpg,3
49.jpg,0
50.jpg,2
51.jpg,0
52.jpg,1
53.jpg,3
54.jpg,0
55.jpg,4
56.jpg,9
57.jpg,2
58.jpg,8
59.jpg,0
60.jpg,1
61.jpg,0
62.jpg,9
63.jpg,2
64.jpg,0
65.jpg,1
66.jpg,7
67.jpg,0
68.jpg,0
69.jpg,0
70.jpg,9
71.jpg,2
72.jpg,8
73.jpg,4
74.jpg,1
75.jpg,2
76.jpg,9
77.jpg,1
78.jpg,0
79.jpg,9
80.jpg,9
81.jpg,8
82.jpg,7
83.jpg,0
84.jpg,3
85.jpg,1
86.jpg,2
87.jpg,5
88.jpg,8
89.jpg,1
90.jpg,3
91.jpg,1
92.jpg,4
93.jpg,3
94.jpg,0
95.jpg,1
96.jpg,0
97.jpg,3
98.jpg,8
99.jpg,0
100.jpg,0
101.jpg,0
102.jpg,0
103.jpg,0
104.jpg,0
105.jpg,0
106.jpg,1
107.jpg,4
108.jpg,0
109.jpg,0
110.jpg,0
111.jpg,8
112.jpg,4
113.jpg,4
114.jpg,8
115.jpg,1
116.jpg,0
117.jpg,0
118.jpg,0
119.jpg,0
120.jpg,5
121.jpg,0
122.jpg,5
123.jpg,9
124.jpg,3
125.jpg,3
126.jpg,8
127.jpg,9
128.jpg,2
129.jpg,3
130.jpg,2
131.jpg,0
132.jpg,2
133.jpg,0
134.jpg,0
135.jpg,0
136.jpg,0
137.jpg,2
138.jpg,5
139.jpg,0
140.jpg,2
141.jpg,2
142.jpg,8
143.jpg,9
144.jpg,9
145.jpg,0
146.jpg,0
147.jpg,2
148.jpg,9
149.jpg,8
150.jpg,2
151.jpg,1
152.jpg,2
153.jpg,0
154.jpg,9
155.jpg,7
156.jpg,0
157.jpg,2
158.jpg,1
159.jpg,8
160.jpg,3
161.jpg,3
162.jpg,3
163.jpg,3
164.jpg,2
165.jpg,2
166.jpg,1
167.jpg,0
168.jpg,1
169.jpg,1
170.jpg,2
171.jpg,0
172.jpg,0
173.jpg,2
174.jpg,8
175.jpg,0
176.jpg,2
177.jpg,3
178.jpg,0
179.jpg,0
180.jpg,1
181.jpg,1
182.jpg,2
183.jpg,1
184.jpg,5
185.jpg,0
186.jpg,0
187.jpg,0
188.jpg,8
189.jpg,2
190.jpg,9
191.jpg,2
192.jpg,4
193.jpg,2
194.jpg,2
195.jpg,2
196.jpg,9
197.jpg,0
198.jpg,8
199.jpg,4
200.jpg,2
