image_id,class
1.jpg,2
2.jpg,0
3.jpg,9
4.jpg,0
5.jpg,5
6.jpg,3
7.jpg,1
8.jpg,7
9.jpg,9
10.jpg,4
11.jpg,2
12.jpg,0
13.jpg,5
14.jpg,0
15.jpg,1
16.jpg,1
17.jpg,0
18.jpg,9
19.jpg,1
20.jpg,1
21.jpg,9
22.jpg,5
23.jpg,8
24.jpg,0
25.jpg,0
26.jpg,4
27.jpg,0
28.jpg,8
29.jpg,9
30.jpg,4
31.jpg,2
32.jpg,0
33.jpg,0
34.jpg,1
35.jpg,1
36.jpg,0
37.jpg,1
38.jpg,8
39.jpg,1
40.jpg,0
41.jpg,0
42.jpg,2
43.jpg,0
44.jpg,7
45.jpg,0
46.jpg,4
47.jpg,2
48.jpg,9
49.jpg,9
50.jpg,0
51.jpg,0
52.jpg,1
53.jpg,2
54.jpg,8
55.jpg,4
56.jpg,5
57.jpg,2
58.jpg,8
59.jpg,2
60.jpg,9
61.jpg,8
62.jpg,9
63.jpg,2
64.jpg,0
65.jpg,0
66.jpg,9
67.jpg,3
68.jpg,0
69.jpg,8
70.jpg,9
71.jpg,0
72.jpg,4
73.jpg,8
74.jpg,1
75.jpg,8
76.jpg,2
77.jpg,8
78.jpg,0
79.jpg,9
80.jpg,9
81.jpg,9
82.jpg,2
83.jpg,6
84.jpg,3
85.jpg,4
86.jpg,4
87.jpg,7
88.jpg,8
89.jpg,1
90.jpg,3
91.jpg,9
92.jpg,4
93.jpg,0
94.jpg,5
95.jpg,0
96.jpg,0
97.jpg,2
98.jpg,8
99.jpg,0
100.jpg,7
101.jpg,0
102.jpg,0
103.jpg,0
104.jpg,0
105.jpg,8
106.jpg,1
107.jpg,0
108.jpg,0
109.jpg,0
110.jpg,0
111.jpg,9
112.jpg,4
113.jpg,4
114.jpg,0
115.jpg,9
116.jpg,0
117.jpg,9
118.jpg,2
119.jpg,0
120.jpg,0
121.jpg,0
122.jpg,4
123.jpg,7
124.jpg,3
125.jpg,7
126.jpg,2
127.jpg,7
128.jpg,0
129.jpg,2
130.jpg,8
131.jpg,2
132.jpg,8
133.jpg,0
134.jpg,0
135.jpg,8
136.jpg,0
137.jpg,0
138.jpg,5
139.jpg,3
140.jpg,5
141.jpg,9
142.jpg,4
143.jpg,0
144.jpg,1
145.jpg,0
146.jpg,0
147.jpg,8
148.jpg,9
149.jpg,5
150.jpg,2
151.jpg,1
152.jpg,4
153.jpg,0
154.jpg,1
155.jpg,7
156.jpg,0
157.jpg,2
158.jpg,1
159.jpg,1
160.jpg,3
161.jpg,4
162.jpg,4
163.jpg,8
164.jpg,0
165.jpg,2
166.jpg,0
167.jpg,0
168.jpg,9
169.jpg,1
170.jpg,8
171.jpg,8
172.jpg,0
173.jpg,6
174.jpg,6
175.jpg,0
176.jpg,2
177.jpg,5
178.jpg,2
179.jpg,0
180.jpg,1
181.jpg,9
182.jpg,6
183.jpg,1
184.jpg,5
185.jpg,0
186.jpg,2
187.jpg,0
188.jpg,1
189.jpg,0
190.jpg,9
191.jpg,2
192.jpg,9
193.jpg,2
194.jpg,0
195.jpg,4
196.jpg,0
197.jpg,6
198.jpg,8
199.jpg,4
200.jpg,7
