image_id,class
1.jpg,8
2.jpg,0
3.jpg,1
4.jpg,0
5.jpg,5
6.jpg,3
7.jpg,1
8.jpg,2
9.jpg,9
10.jpg,4
11.jpg,2
12.jpg,0
13.jpg,5
14.jpg,1
15.jpg,1
16.jpg,6
17.jpg,8
18.jpg,9
19.jpg,1
20.jpg,1
21.jpg,3
22.jpg,5
23.jpg,0
24.jpg,8
25.jpg,0
26.jpg,1
27.jpg,0
28.jpg,2
29.jpg,9
30.jpg,0
31.jpg,1
32.jpg,2
33.jpg,0
34.jpg,5
35.jpg,1
36.jpg,0
37.jpg,3
38.jpg,1
39.jpg,4
40.jpg,0
41.jpg,8
42.jpg,3
43.jpg,0
44.jpg,3
45.jpg,8
46.jpg,2
47.jpg,8
48.jpg,6
49.jpg,8
50.jpg,2
51.jpg,0
52.jpg,1
53.jpg,2
54.jpg,0
55.jpg,2
56.jpg,5
57.jpg,2
58.jpg,8
59.jpg,2
60.jpg,9
61.jpg,0
62.jpg,9
63.jpg,3
64.jpg,0
65.jpg,0
66.jpg,1
67.jpg,2
68.jpg,0
69.jpg,8
70.jpg,9
71.jpg,2
72.jpg,7
73.jpg,8
74.jpg,1
75.jpg,8
76.jpg,3
77.jpg,8
78.jpg,0
79.jpg,8
80.jpg,1
81.jpg,8
82.jpg,3
83.jpg,0
84.jpg,3
85.jpg,7
86.jpg,8
87.jpg,7
88.jpg,8
89.jpg,1
90.jpg,3
91.jpg,9
92.jpg,7
93.jpg,3
94.jpg,5
95.jpg,2
96.jpg,3
97.jpg,5
98.jpg,8
99.jpg,0
100.jpg,7
101.jpg,8
102.jpg,8
103.jpg,0
104.jpg,1
105.jpg,1
106.jpg,1
107.jpg,3
108.jpg,0
109.jpg,0
110.jpg,6
111.jpg,7
112.jpg,6
113.jpg,4
114.jpg,5
115.jpg,5
116.jpg,8
117.jpg,9
118.jpg,4
119.jpg,2
120.jpg,3
121.jpg,8
122.jpg,5
123.jpg,7
124.jpg,3
125.jpg,5
126.jpg,3
127.jpg,4
128.jpg,0
129.jpg,3
130.jpg,2
131.jpg,6
132.jpg,2
133.jpg,0
134.jpg,0
135.jpg,0
136.jpg,0
137.jpg,2
138.jpg,5
139.jpg,2
140.jpg,3
141.jpg,7
142.jpg,4
143.jpg,0
144.jpg,1
145.jpg,0
146.jpg,0
147.jpg,3
148.jpg,8
149.jpg,8
150.jpg,2
151.jpg,1
152.jpg,2
153.jpg,8
154.jpg,9
155.jpg,3
156.jpg,2
157.jpg,2
158.jpg,1
159.jpg,1
160.jpg,3
161.jpg,4
162.jpg,7
163.jpg,8
164.jpg,3
165.jpg,2
166.jpg,3
167.jpg,8
168.jpg,8
169.jpg,1
170.jpg,8
171.jpg,8
172.jpg,0
173.jpg,2
174.jpg,6
175.jpg,8
176.jpg,5
177.jpg,3
178.jpg,0
179.jpg,0
180.jpg,1
181.jpg,3
182.jpg,6
183.jpg,1
184.jpg,2
185.jpg,2
186.jpg,0
187.jpg,0
188.jpg,1
189.jpg,0
190.jpg,9
191.jpg,2
192.jpg,6
193.jpg,2
194.jpg,2
195.jpg,4
196.jpg,9
197.jpg,2
198.jpg,8
199.jpg,4
200.jpg,3
